"Location","Lat","Long","Type","One BR Rent"
"Rocklin, CA","38.7907339","-121.2357828","City","1308"
"Massachusetts","42.4072107","-71.3824374","State","1301"
"McDonough, GA","33.4473361","-84.1468616","City","1301"
"Perry Hall, MD","39.4126073","-76.463574","City","1299"
"Snellville, GA","33.857328","-84.0199108","City","1299"
"Duluth, GA","34.0028786","-84.1446376","City","1289"
"Roswell, GA","34.0232431","-84.3615555","City","1286"
"Oviedo, FL","28.669997","-81.20812029999999","City","1284"
"New York","40.7127753","-74.0059728","State","1280"
"Sugar Land, TX","29.6196787","-95.6349463","City","1279"
"Alpharetta, GA","34.0753762","-84.2940899","City","1275"
"Frisco, TX","33.1506744","-96.82361159999999","City","1272"
"Chino, CA","34.0122346","-117.688944","City","1267"
"Jupiter, FL","26.9342246","-80.0942087","City","1263"
"Westminster, CO","39.8366528","-105.0372046","City","1263"
"Pflugerville, TX","30.4548451","-97.6222665","City","1262"
"Tacoma, WA","47.2528768","-122.4442906","City","1258"
"Maryland","39.0457549","-76.64127119999999","State","1256"
"Allen, TX","33.1031744","-96.67055030000002","City","1252"
"Round Rock, TX","30.5082551","-97.678896","City","1252"
"Arlington Heights, IL","42.0883603","-87.98062650000001","City","1251"
"New Jersey","40.0583238","-74.4056612","State","1247"
"Aurora, CO","39.7294319","-104.8319195","City","1247"
"Hawthorne, CA","33.9164032","-118.3525748","City","1241"
"Lancaster, CA","34.6867846","-118.1541632","City","1241"
"Lowell, MA","42.6334247","-71.31617179999999","City","1241"
"Owings Mills, MD","39.4195499","-76.7802528","City","1239"
"Golden, CO","39.755543","-105.2210997","City","1233"
"Oxnard, CA","34.1975048","-119.1770516","City","1233"
"Kennesaw, GA","34.0234337","-84.6154897","City","1231"
"West New York, NJ","40.7878788","-74.0143064","City","1231"
"League City, TX","29.5074538","-95.0949303","City","1222"
"Arvada, CO","39.8027644","-105.0874842","City","1210"
"Daphne, AL","30.6035255","-87.9036047","City","1209"
"Crystal Lake, IL","42.2411344","-88.31619649999999","City","1208"
"Forest Grove, OR","45.5263514","-123.1208596","City","1207"
"Cedar Hill, TX","32.5884689","-96.9561152","City","1206"
"Ontario, CA","34.0633443","-117.6508876","City","1203"
"Norcross, GA","33.9412127","-84.2135309","City","1197"
"Highland, IN","41.5536468","-87.451984","City","1196"
"Matthews, NC","35.1168131","-80.72368039999999","City","1196"
"Minnetonka, MN","44.9211836","-93.4687489","City","1194"
"Deerfield Beach, FL","26.3184123","-80.09976569999999","City","1193"
"Lawrenceville, GA","33.9562149","-83.9879625","City","1192"
"Glen Burnie, MD","39.1626084","-76.6246886","City","1187"
"Lakeville, MN","44.6496868","-93.24271999999999","City","1183"
"Marietta, GA","33.95260200000001","-84.5499327","City","1183"
"Bluffton, SC","32.2371465","-80.8603868","City","1181"
"Delray Beach, FL","26.4614625","-80.0728201","City","1180"
"Elizabeth, NJ","40.6639916","-74.2107006","City","1180"
"Nashua, NH","42.7653662","-71.46756599999999","City","1177"
"Lakewood, WA","47.1717649","-122.518458","City","1175"
"Norristown, PA","40.121497","-75.3399048","City","1175"
"Pooler, GA","32.115481","-81.2470574","City","1175"
"Little Elm, TX","33.1626193","-96.9375051","City","1174"
"Missouri City, TX","29.6185669","-95.5377215","City","1174"
"Georgetown, TX","30.6332618","-97.6779842","City","1173"
"Gilbert, AZ","33.3528264","-111.789027","City","1173"
"The Colony, TX","33.0806083","-96.89283089999999","City","1169"
"Danbury, CT","41.394817","-73.4540111","City","1168"
"Towson, MD","39.4014955","-76.6019125","City","1168"
"Boulder, CO","40.0149856","-105.2705456","City","1167"
"Washington","47.7510741","-120.7401385","State","1165"
"Austin, TX","30.267153","-97.7430608","City","1161"
"Plano, TX","33.0198431","-96.6988856","City","1160"
"Pompano Beach, FL","26.2378597","-80.1247667","City","1158"
"Morrisville, NC","35.823483","-78.8255621","City","1155"
"South Jordan, UT","40.5621704","-111.929658","City","1154"
"Marana, AZ","32.436381","-111.2224422","City","1146"
"Peoria, AZ","33.5805955","-112.2373779","City","1144"
"Smyrna, GA","33.8839926","-84.51437609999999","City","1144"
"Miami Gardens, FL","25.9420377","-80.2456045","City","1141"
"Carol Stream, IL","41.91252859999999","-88.13479269999999","City","1140"
"Wheeling, IL","42.1391927","-87.9289591","City","1137"
"Fort Lauderdale, FL","26.1224386","-80.13731740000001","City","1133"
"Goodyear, AZ","33.4353394","-112.3576567","City","1133"
"McKinney, TX","33.1972465","-96.6397822","City","1133"
"Reisterstown, MD","39.4695489","-76.82942129999999","City","1133"
"Chandler, AZ","33.3061605","-111.8412502","City","1132"
"Huntersville, NC","35.410694","-80.84285040000002","City","1132"
"Cockeysville, MD","39.4812172","-76.6438598","City","1130"
"Hopkins, MN","44.9260794","-93.4044187","City","1130"
"Catonsville, MD","39.2720509","-76.73191609999999","City","1128"
"La Quinta, CA","33.6633573","-116.3100095","City","1127"
"Portland, OR","45.5154586","-122.6793461","City","1127"
"Aurora, IL","41.7605849","-88.32007150000001","City","1125"
"Apex, NC","35.732652","-78.85028559999999","City","1124"
"Pleasantville, NJ","39.3898388","-74.5240422","City","1121"
"Citrus Heights, CA","38.7071247","-121.2810611","City","1119"
"Hollywood, FL","26.0112014","-80.1494901","City","1117"
"Hoffman Estates, IL","42.0629915","-88.12271989999999","City","1115"
"Parkville, MD","39.3773292","-76.5396875","City","1109"
"Spring, TX","30.0799405","-95.41716009999999","City","1109"
"Carrollton, TX","32.9756415","-96.8899636","City","1107"
"Victorville, CA","34.5362184","-117.2927641","City","1102"
"Burnsville, MN","44.7677424","-93.27772259999999","City","1101"
"Pearland, TX","29.5635666","-95.2860474","City","1099"
"Cary, NC","35.79154","-78.7811169","City","1097"
"New Haven, CT","41.308274","-72.9278835","City","1095"
"Henderson, NV","36.0395247","-114.9817213","City","1094"
"Charlottesville, VA","38.0293059","-78.47667810000002","City","1091"
"Sarasota, FL","27.3364347","-82.53065269999999","City","1088"
"Winter Springs, FL","28.6988853","-81.30812259999999","City","1087"
"Grapevine, TX","32.9342919","-97.0780654","City","1086"
"West Palm Beach, FL","26.7153424","-80.0533746","City","1083"
"Chicago, IL","41.8781136","-87.6297982","City","1082"
"Palm Harbor, FL","28.0780718","-82.7637127","City","1081"
"Ann Arbor, MI","42.2808256","-83.7430378","City","1080"
"North Richland Hills, TX","32.8342952","-97.2289029","City","1080"
"Miami, FL","25.7616798","-80.1917902","City","1075"
"Orlando, FL","28.5383355","-81.3792365","City","1074"
"Casselberry, FL","28.677775","-81.3278455","City","1073"
"Connecticut","41.6032207","-73.087749","State","1071"
"Virginia Beach, VA","36.8529263","-75.97798499999999","City","1071"
"Denver, CO","39.7392358","-104.990251","City","1068"
"Scottsdale, AZ","33.4941704","-111.9260519","City","1068"
"Manchester, NH","42.9956397","-71.4547891","City","1065"
"Riverside, CA","33.9806005","-117.3754942","City","1065"
"Altamonte Springs, FL","28.6611089","-81.3656242","City","1063"
"Middle River, MD","39.3342744","-76.4394056","City","1063"
"Richardson, TX","32.9483335","-96.7298519","City","1062"
"Franklin, TN","35.9250637","-86.8688899","City","1061"
"Virginia","37.4315734","-78.6568942","State","1057"
"Longmont, CO","40.1672068","-105.1019275","City","1054"
"Douglasville, GA","33.7514966","-84.7477136","City","1047"
"Elkton, MD","39.60677889999999","-75.83327179999999","City","1046"
"Fontana, CA","34.0922335","-117.435048","City","1046"
"Herriman, UT","40.5141147","-112.0329938","City","1045"
"Riverview, FL","27.8661364","-82.32648089999999","City","1045"
"National City, CA","32.6781085","-117.0991967","City","1044"
"Newington, CT","41.6972996","-72.7228293","City","1044"
"Humble, TX","29.99883119999999","-95.26215529999999","City","1043"
"Winter Park, FL","28.5999998","-81.33923519999999","City","1042"
"Jonesboro, GA","33.5215013","-84.3538128","City","1041"
"Dearborn, MI","42.3222599","-83.17631449999999","City","1040"
"Novi, MI","42.48059","-83.4754913","City","1040"
"Wilmington, DE","39.744655","-75.5483909","City","1038"
"Atlanta, GA","33.7489954","-84.3879824","City","1037"
"Loma Linda, CA","34.0483474","-117.2611527","City","1037"
"Mason, OH","39.3600586","-84.309939","City","1037"
"Colorado","39.5500507","-105.7820674","State","1034"
"Ballwin, MO","38.5950532","-90.54623389999999","City","1033"
"New Hampshire","43.1938516","-71.5723953","State","1029"
"Riverdale, GA","33.5726113","-84.4132594","City","1029"
"Adelanto, CA","34.5827699","-117.409215","City","1027"
"Decatur, GA","33.7748275","-84.2963123","City","1026"
"Kissimmee, FL","28.2919557","-81.40757099999999","City","1026"
"Newnan, GA","33.3806716","-84.79965729999999","City","1025"
"Pineville, NC","35.0832014","-80.89229569999999","City","1024"
"Lacey, WA","47.03426289999999","-122.8231915","City","1017"
"Providence, RI","41.8239891","-71.4128343","City","1017"
"Brandon, FL","27.937801","-82.2859247","City","1016"
"Tampa, FL","27.950575","-82.4571776","City","1016"
"Clovis, CA","36.8252277","-119.7029194","City","1014"
"Grand Prairie, TX","32.7459645","-96.99778459999999","City","1014"
"Simpsonville, SC","34.7370639","-82.25428339999999","City","1014"
"Smyrna, TN","35.9828412","-86.5186045","City","1013"
"Dunedin, FL","28.0197404","-82.7717684","City","1010"
"Chesapeake, VA","36.7682088","-76.2874927","City","1007"
"Lewisville, TX","33.046233","-96.994174","City","1006"
"Glassboro, NJ","39.70289229999999","-75.1118422","City","1003"
"Avondale, AZ","33.4355977","-112.3496021","City","1002"
"Garner, NC","35.7112642","-78.61417089999999","City","1002"
"Canton, GA","34.2367621","-84.4907621","City","1000"
"Cranston, RI","41.7798226","-71.4372796","City","999"
"Garland, TX","32.912624","-96.63888329999999","City","999"
"Arlington, TX","32.735687","-97.10806559999999","City","998"
"Troy, MI","42.6064095","-83.1497751","City","998"
"Addison, TX","32.96179","-96.82916850000001","City","997"
"Hendersonville, TN","36.3047735","-86.6199957","City","997"
"Summerville, SC","33.0185039","-80.17564809999999","City","997"
"Middletown, CT","41.5623209","-72.6506488","City","996"
"Raleigh, NC","35.7795897","-78.6381787","City","996"
"Euless, TX","32.8370727","-97.08195409999999","City","995"
"Universal City, TX","29.5480071","-98.2911235","City","993"
"Webster, TX","29.5377315","-95.1182645","City","993"
"Wheat Ridge, CO","39.766098","-105.0772063","City","992"
"Delaware","38.9108325","-75.52766989999999","State","991"
"Richmond, TX","29.5821811","-95.76078319999999","City","991"
"Chaska, MN","44.7893446","-93.60183889999999","City","990"
"Elgin, SC","34.17098259999999","-80.794252","City","990"
"Fort Mill, SC","35.0073697","-80.94507589999999","City","986"
"Irving, TX","32.8140177","-96.9488945","City","986"
"Elgin, IL","42.0354084","-88.2825668","City","985"
"Port Orange, FL","29.1383165","-80.9956105","City","984"
"Worcester, MA","42.2625932","-71.8022934","City","984"
"Dallas, GA","33.9244531","-84.8413056","City","983"
"Oak Park, MI","42.4594803","-83.18270509999999","City","982"
"Oregon","43.8041334","-120.5542012","State","981"
"Des Plaines, IL","42.0333623","-87.88339909999999","City","981"
"Duncanville, TX","32.6518004","-96.9083366","City","981"
"Park Forest, IL","41.4914236","-87.6744891","City","980"
"Hemet, CA","33.7475203","-116.9719684","City","977"
"St. Paul, MN","44.9537029","-93.0899578","City","977"
"Buckeye, AZ","33.3703197","-112.5837766","City","976"
"Overland Park, KS","38.9822282","-94.6707917","City","976"
"DeSoto, TX","32.5896998","-96.8570738","City","975"
"Charlotte, NC","35.2270869","-80.8431267","City","972"
"Clementon, NJ","39.8115033","-74.9829443","City","972"
"Philadelphia, PA","39.9525839","-75.1652215","City","972"
"Stockton, CA","37.9577016","-121.2907796","City","971"
"Florida","27.6648274","-81.5157535","State","970"
"Indio, CA","33.7205771","-116.2155619","City","970"
"Vermont","44.5588028","-72.57784149999999","State","969"
"Fishers, IN","39.9567548","-86.01335","City","969"
"Palm Desert, CA","33.7222445","-116.3744556","City","969"
"Clearwater, FL","27.9658533","-82.8001026","City","968"
"Melbourne, FL","28.0836269","-80.60810889999999","City","968"
"Tolleson, AZ","33.4500425","-112.259321","City","968"
"Woodstock, IL","42.3147436","-88.44870209999999","City","968"
"Hurst, TX","32.8234621","-97.1705678","City","967"
"South Gate, CA","33.954737","-118.2120161","City","967"
"Rhode Island","41.5800945","-71.4774291","State","962"
"Colorado Springs, CO","38.8338816","-104.8213634","City","962"
"Magnolia, TX","30.2093794","-95.75078150000002","City","961"
"Apopka, FL","28.6934076","-81.5322149","City","960"
"Fort Collins, CO","40.5852602","-105.084423","City","960"
"Sanford, FL","28.8028612","-81.269453","City","960"
"Anoka, MN","45.1977428","-93.3871758","City","959"
"Glenwood, IL","41.5425349","-87.6022658","City","959"
"Sacramento, CA","38.5815719","-121.4943996","City","959"
"St. Petersburg, FL","27.7676008","-82.64029149999999","City","957"
"San Marcos, TX","29.8832749","-97.9413941","City","953"
"Bloomfield Hills, MI","42.583645","-83.24548829999999","City","952"
"Covington, GA","33.5967815","-83.8601827","City","952"
"Tempe, AZ","33.4255104","-111.9400054","City","952"
"National","37.03291189999999","-95.6291268","National","951"
"North Las Vegas, NV","36.1988592","-115.1175013","City","950"
"Lenexa, KS","38.9536174","-94.73357089999999","City","949"
"Midvale, UT","40.6110589","-111.8999353","City","946"
"Carmichael, CA","38.617127","-121.3282843","City","945"
"Joliet, IL","41.525031","-88.0817251","City","943"
"Baltimore, MD","39.2903848","-76.6121893","City","942"
"Bradenton, FL","27.4989278","-82.5748194","City","942"
"Austell, GA","33.8126059","-84.6343783","City","939"
"Las Vegas, NV","36.1699412","-115.1398296","City","939"
"Olathe, KS","38.8813958","-94.81912849999999","City","938"
"Durham, NC","35.9940329","-78.898619","City","936"
"Fox Lake, IL","42.3966874","-88.1836965","City","935"
"Livonia, MI","42.36837","-83.35270969999999","City","929"
"Alaska","64.2008413","-149.4936733","State","928"
"Dearborn Heights, MI","42.3369816","-83.27326269999999","City","928"
"Ormond Beach, FL","29.2858129","-81.0558894","City","928"
"Palm Springs, CA","33.8302961","-116.5452921","City","928"
"Fort Worth, TX","32.7554883","-97.3307658","City","925"
"Slidell, LA","30.2751945","-89.78117449999999","City","925"
"Nashville, TN","36.1626638","-86.7816016","City","921"
"Auburn Hills, MI","42.6875323","-83.2341028","City","920"
"Dundalk, MD","39.2506633","-76.5205184","City","920"
"Chicago Heights, IL","41.506146","-87.6355995","City","919"
"Acworth, GA","34.0659329","-84.6768796","City","918"
"Waterbury, CT","41.5581525","-73.0514965","City","918"
"Apple Valley, CA","34.5008311","-117.1858759","City","917"
"Glendale, AZ","33.5386523","-112.1859866","City","917"
"Waxahachie, TX","32.3865312","-96.8483311","City","915"
"Loveland, CO","40.3977612","-105.0749801","City","914"
"Mableton, GA","33.8187167","-84.5824329","City","914"
"North Charleston, SC","32.8771106","-80.0130514","City","910"
"Redlands, CA","34.0555693","-117.1825381","City","910"
"Cape Coral, FL","26.5628537","-81.9495331","City","909"
"Gardner, KS","38.8108408","-94.9271868","City","909"
"Howell, MI","42.6072552","-83.9293952","City","909"
"Illinois","40.6331249","-89.3985283","State","906"
"Southfield, MI","42.4733688","-83.2218731","City","906"
"Minneapolis, MN","44.977753","-93.2650108","City","905"
"Brighton, MI","42.5294773","-83.7802214","City","903"
"Meridian, ID","43.6121087","-116.3915131","City","902"
"Texas City, TX","29.383845","-94.9027002","City","902"
"Allentown, PA","40.6022939","-75.4714098","City","901"
"Blue Springs, MO","39.0169509","-94.2816148","City","900"
"Dallas, TX","32.7766642","-96.79698789999999","City","900"
"Drexel Hill, PA","39.9470567","-75.2921301","City","899"
"Savannah, GA","32.0808989","-81.091203","City","899"
"Richmond, VA","37.5407246","-77.4360481","City","896"
"Deltona, FL","28.9005446","-81.26367379999999","City","893"
"Reno, NV","39.5296329","-119.8138027","City","893"
"Albany, NY","42.6525793","-73.7562317","City","892"
"North Port, FL","27.044224","-82.2359254","City","892"
"Weatherford, TX","32.7592955","-97.7972544","City","892"
"Zion, IL","42.4461322","-87.83285049999999","City","891"
"Clarkston, GA","33.8095487","-84.23964339999999","City","889"
"Asheville, NC","35.5950581","-82.5514869","City","888"
"Essex, MD","39.30927430000001","-76.47496199999999","City","888"
"Tarpon Springs, FL","28.1461248","-82.7567679","City","888"
"Nevada","38.8026097","-116.419389","State","887"
"Forest Lake, MN","45.2788561","-92.9852183","City","887"
"Perris, CA","33.7825194","-117.2286478","City","887"
"Mesa, AZ","33.4151843","-111.8314724","City","885"
"Jacksonville, FL","30.3321838","-81.65565099999999","City","884"
"Conroe, TX","30.3118769","-95.45605119999999","City","882"
"Belton, MO","38.8119527","-94.5318982","City","881"
"Bellingham, WA","48.7519112","-122.4786854","City","879"
"Georgia","32.1656221","-82.9000751","State","876"
"Calumet City, IL","41.6155909","-87.5294871","City","871"
"Audubon, NJ","39.8909466","-75.0729504","City","870"
"Fall River, MA","41.7014912","-71.1550451","City","869"
"Chico, CA","39.7284944","-121.8374777","City","868"
"Baytown, TX","29.7355047","-94.97742740000001","City","867"
"Hampton, VA","37.0298687","-76.34522179999999","City","865"
"Loveland, OH","39.2689476","-84.26382600000001","City","863"
"Salt Lake City, UT","40.7607793","-111.8910474","City","863"
"Phoenix, AZ","33.4483771","-112.0740373","City","862"
